station,valid,name,state,wfo,high,high_record_years,high_normal,high_time,low,low_record,low_record_years,low_normal,low_time,precip,precip_normal,precip_month,precip_jan1,precip_jan1_normal,precip_jul1,precip_dec1,precip_dec1_normal,precip_record,precip_record_years,precip_jan1_depart,snow,snowdepth,snow_normal,snow_month,snow_jun1,snow_jul1,snow_dec1,snow_record,snow_record_years,snow_jul1_normal,snow_dec1_normal,snow_month_normal,snow_jul1_depart
KAUG,2/3/2020,AUGUSTA STATE ARPT,ME,GYX,41,1991,29,144 PM,25,-13,1955,12,415 AM,0,0.08,0,1.92,2.86,M,5.7,6.1,1.85,1970,-0.94,M,M,M,M,M,M,M,M,,M,M,M,M
KHUL,2/3/2020,HOULTON INTL ARPT,ME,CAR,38,1970,23,420 PM,12,-30,1971,1,705 AM,T,0.08,T,1.95,3.09,M,4.78,6.38,1.64,1968 2002,-1.14,M,M,M,M,M,M,M,M,,49.8,41.7,2,M
KBGR,2/3/2020,BANGOR INTL ARPT,ME,CAR,43,1991,29,251 PM,19,-20,1948,7,1238 AM,0,0.09,T,2.42,3.16,M,5.63,6.64,1.61,1968,-0.74,0,T,M,T,M,30.5,25.8,9,1969,37.7,35.3,1.7,-7.2
KBTL,2/3/2020,BATTLE CREEK,MI,GRR,51,,33,441 PM,26,M,,16,743 AM,0,0.04,0.02,3.03,1.78,M,5.64,3.77,M,,1.25,M,M,M,M,M,M,M,M,,M,M,M,M
KMKG,2/3/2020,MUSKEGON,MI,GRR,48,2019 1992 1991,31,400 PM,27,-14,1996,20,819 AM,0,0.06,0.09,2.7,2.2,M,6.51,4.75,0.6,1904,0.5,0,T,M,T,M,35.7,24.8,7.1,2007,65.6,59.4,2.5,-29.9
KDTW,2/3/2020,DETROIT/WAYNE,MI,DTX,52,2016,33,239 PM,31,-15,1985,19,828 AM,0,0.06,0.05,4.17,2.15,M,6.46,4.61,1.12,1883,2.02,0,0,M,0.5,M,22.4,12.9,7.2,1901,24.8,23.2,1.1,-2.4
KAZO,2/3/2020,KALAMAZOO,MI,GRR,53,1991,32,415 PM,27,-19,1912,18,704 AM,0,0.04,0.02,3.41,1.91,M,6.1,3.89,1.2,1901,1.5,M,M,M,M,M,M,M,M,,M,M,M,M
KMBS,2/3/2020,SAGINAW,MI,DTX,41,,29,340 PM,28,M,,16,658 AM,0,0.04,0.02,2.45,1.84,M,5.41,3.7,M,,0.61,0,0,M,0.3,M,22.4,15.8,M,,25.8,21.9,1,-3.4
KTVC,2/3/2020,TRAVERSE CIT,MI,APX,40,1922,28,325 PM,26,-25,1996,14,751 AM,0,0.06,0.03,1.2,3,M,4.4,5.49,0.8,1938,-1.8,M,M,M,M,M,M,M,M,,M,M,M,M
KLAN,2/3/2020,LANSING,MI,GRR,49,1991,31,343 PM,27,-29,1868,17,554 AM,0,0.04,0.06,4.11,1.78,M,8.02,3.65,1,1883,2.33,0,0,M,0.2,M,24.4,17.6,9,1901,31.9,28.1,1.3,-7.5
KANJ,2/3/2020,SAULT STE MARIE,MI,APX,37,1991,24,150 PM,29,-27,1996,8,826 AM,T,0.06,0.22,2.45,2.35,M,5.67,5.14,0.32,1934 1893,0.1,T,15,M,2.2,M,82.4,M,3.4,2007,84.1,M,2.5,-1.7
KRST,2/3/2020,ROCHESTER,MN,ARX,33,1934,25,1205 PM,21,-32,1912,9,733 AM,0,0.03,0,1.01,0.94,M,2.2,2.17,0.3,1936,0.07,0,5,M,0,M,32.9,M,3.9,2015,32.5,M,1.1,0.4
KINL,2/3/2020,INTERNTNL FALLS,MN,DLH,26,1991,18,1232 AM,-8,-40,1982,-5,919 PM,0,0.02,0.07,1.28,0.67,M,2.72,1.48,0.4,1943,0.61,0,20,M,0.6,M,49.7,39.3,2.5,2019,47.1,31.1,1.1,2.6
KDLH,2/3/2020,DULUTH,MN,DLH,31,2005 1993,21,1215 AM,5,-33,1923,3,1159 PM,0,0.02,T,1.37,1.03,M,4.06,2.24,0.3,1943,0.34,0,24,M,T,M,74,45.4,3,1974,54.5,38.4,1.3,19.5
KSTC,2/3/2020,ST. CLOUD,MN,MPX,30,2005,23,410 AM,12,-33,1996,3,1159 PM,0,0.02,0,1.09,0.7,M,2.77,1.52,0.32,1943,0.39,0,8,M,0,M,37.5,25.2,7,2003,27.9,18.7,0.7,9.6
KMSP,2/3/2020,MINNEAPOLIS,MN,MPX,32,1934,26,258 PM,20,-27,1886,9,1159 PM,0,0.02,0,0.97,0.97,M,2.8,2.13,0.42,1943,0,0,5,M,0,M,35.4,21.1,3.4,1936,34.9,25,0.9,0.5
KIRK,2/3/2020,KIRKSVILLE,MO,EAX,50,,37,127 PM,32,M,,18,801 AM,0,0.06,0,2.43,1.43,M,4.11,3.18,M,,1,M,M,M,M,M,M,M,M,,M,M,M,M
KCGI,2/3/2020,CAPE GIRARDEAU,MO,PAH,64,1962,45,310 PM,45,-8,1985,25,501 AM,T,0.12,T,6.52,3.85,M,8.77,8.1,1.15,1997,2.67,M,M,M,M,M,M,M,M,,M,M,M,M
KVIH,2/3/2020,VICHY/ROLLA,MO,SGF,68,1962,43,150 PM,51,-12,1996,23,1159 PM,0,0.06,0,5.37,2.36,M,7.05,5,0.99,2012,3.01,M,M,M,M,M,M,M,M,,M,M,M,M
KSGF,2/3/2020,SPRINGFIELD,MO,SGF,69,1962,45,301 PM,47,-9,2011,23,1159 PM,T,0.08,T,5.9,2.7,M,7.21,5.74,0.95,2012,3.2,0,0,M,0,M,4,3.6,M,,M,M,M,M
KSTL,2/3/2020,ST. LOUIS,MO,LSX,74,1890,42,1129 AM,40,-12,1996,25,700 AM,0,0.08,T,6.49,2.63,M,8.35,5.47,1.57,1986,3.86,0,0,M,0,M,11.5,10,5.5,1912,11.2,10.5,0.5,0.3
KJAN,2/3/2020,JACKSON/THOMPSON,MS,JAN,74,1896,58,343 PM,47,4,1951,36,555 AM,T,0.18,T,13.82,5.51,M,19.63,10.66,2.88,1936,8.31,M,M,M,0,M,T,0,0.1,2011,0.6,0.6,0,-0.6
KGWO,2/3/2020,GREENWOOD/LEFLORE,MS,JAN,71,1990,55,351 PM,49,-4,1951,34,720 AM,0,0.16,0,7.67,5,M,13.67,10.65,3.27,1956,2.67,0,M,M,M,M,M,M,M,,M,M,M,M
KHBG,2/3/2020,HATTIESBURG MUNI,MS,JAN,75,1957 1927,61,229 PM,41,7,1951,38,713 AM,0,0.17,0,6.88,6.27,M,10.78,11.18,2.41,1982,0.61,0,M,M,M,M,M,M,M,,M,M,M,M
KTUP,2/3/2020,TUPELO/C.D. LEMONS,MS,MEG,76,1986,54,217 PM,42,0,1951,33,617 AM,0,0.16,T,8.45,4.96,M,14.46,11.24,2.49,1956,3.49,0,0,M,0,M,0.1,0.1,T,2014 2011 1970,1.3,1.3,0.1,-1.2
KGLH,2/3/2020,GREENVILLE MUNI,MS,JAN,67,1932 1914 1911,54,335 PM,45,3,1951,33,712 AM,T,0.22,T,7.45,5.62,M,12.58,11.24,2.44,1956,1.83,M,M,M,M,M,M,M,M,,M,M,M,M
KBTM,2/3/2020,BUTTE/BERT MOONEY,MT,MSO,24,2005,33,419 PM,5,-41,1989,8,1154 PM,0,0.01,0.02,0.11,0.51,M,M,M,0.5,1907,-0.4,M,M,M,M,M,M,M,M,,M,M,M,M
KHLN,2/3/2020,HELENA REGIONAL,MT,TFX,33,1889 1962,36,351 PM,16,-36,1996,15,902 AM,0,0.01,0,0.1,0.39,M,M,M,0.49,2019,-0.29,0,0,M,T,M,20.7,1.4,4.5,1915,22.9,14.1,0.6,-2.2
KBIL,2/3/2020,BILLINGS/LOGAN INTL,MT,BYZ,23,1962,38,223 PM,11,-26,1989,19,1159 PM,0.05,0.02,0.25,0.47,0.53,M,M,M,0.47,1986,-0.06,0.6,3,M,3.1,M,30,8.5,3.1,1955,29,17.3,0.7,1
KCTB,2/3/2020,CUT BANK (AWOS),MT,TFX,24,1962 2005,34,1059 AM,8,-38,1916,12,1128 PM,T,0.01,0.03,0.04,0.22,M,M,M,0.1,2018,-0.22,M,T,M,M,M,M,M,M,,M,M,M,M
KDLN,2/3/2020,DILLON AIRPORT,MT,TFX,23,1953,34,233 PM,4,-33,1989,14,803 PM,0,0.01,0.05,0.06,0.3,M,M,M,0.07,2019,-0.3,M,2,M,M,M,M,M,M,,M,M,M,M
KBZN,2/3/2020,BOZEMAN/GALLATIN,MT,TFX,24,1953,37,106 PM,-3,-36,1996,13,905 PM,0,0.01,0.15,0.34,0.52,M,M,M,0.35,1986,-0.18,0,3,M,4.4,M,25.8,8,3.5,1986,17.8,10.4,0.4,8
KEWN,2/3/2020,NEW_BERN/CRAVEN_CO_(ASOS),NC,MHX,78,1989,56,222 PM,47,19,1980,35,711 AM,0,0.13,0.42,2.48,4.4,M,5.67,7.8,1.42,1952,-1.92,0,0,M,0,M,0,M,M,,M,M,M,M
KAVL,2/3/2020,ASHEVILLE_MUNICIPAL_(ASOS),NC,GSP,71,1989,49,330 PM,33,-5,1917,28,748 AM,0,0.14,0.03,4.94,4.07,M,9.23,7.66,2.15,2016,0.87,0,0,M,0,M,0.6,0.6,3,1961,5.4,5.3,0.3,-4.8
KFAY,2/3/2020,FAYETTEVILLE_RGNL_(ASOS),NC,RAH,75,1989,57,357 PM,42,10,1917,34,750 AM,0,0.09,T,4.09,3.56,M,9.24,6.21,1.8,1916,0.53,M,M,M,M,M,M,M,M,,M,M,M,M
KGSO,2/3/2020,GREENSBORO/PIEDMONT_(ASOS),NC,RAH,73,1989,50,222 PM,42,7,1917,31,752 AM,0,0.1,0,4.98,3.36,M,9.05,6.34,1.52,1920,1.62,0,0,M,0,M,T,T,1,1936,4.6,4.5,0.3,-4.6
KLBT,2/3/2020,LUMBERTON_MUNI_AIRPORT_(ASOS),NC,ILM,76,1989,56,MM,42,13,1980 1917,34,MM,0,0.08,0,4.19,3.21,M,10.54,6.1,1.77,2016,0.98,M,M,M,M,M,M,M,T,1961,M,M,M,M
KCLT,2/3/2020,CHARLOTTE/DOUGLAS_(ASOS),NC,GSP,74,1989,53,357 PM,39,8,1917,31,638 AM,0,0.12,0.01,4.67,3.75,M,9.99,7,1.25,1952,0.92,0,0,M,0,M,T,T,1.5,1905,2.7,2.6,0.2,-2.7
KRDU,2/3/2020,RALEIGH-DURHAM_(ASOS),NC,RAH,74,1989,53,327 PM,42,7,1980,32,632 AM,0,0.11,0.04,4.95,3.84,M,8.27,6.91,3,1920,1.11,0,0,M,0,M,T,T,1.2,,3.9,3.8,0.3,-3.9
KILM,2/3/2020,WILMINGTON/NEW_HAN_(ASOS),NC,ILM,75,1990 1989,58,306 PM,48,13,1917,37,716 AM,0,0.13,0.68,3.04,4.14,M,6.9,7.76,3.37,1998,-1.1,0,0,M,0,M,0,0,3,1951,1.2,1.2,0,-1.2
KDIK,2/3/2020,DICKINSON,ND,BIS,28,1962,28,132 PM,15,-38,1899,8,1159 PM,0,0.01,0,0.14,0.32,M,0.14,0.56,0.2,1898,-0.18,M,M,M,M,M,M,M,M,,M,M,M,M
KMOT,2/3/2020,MINOT_INTL,ND,BIS,25,1906,23,226 PM,15,-40,1917,5,648 PM,0,0.01,T,0.03,0.55,M,0.03,0.93,0.21,1970,-0.55,M,M,M,M,M,M,M,M,,M,M,M,M
KCON,2/3/2020,CONCORD MUNICIPAL,NH,GYX,45,1877,32,235 PM,21,-32,1898,11,552 AM,0,0.09,T,1.95,2.97,M,7.65,6.17,1.7,1970,-1.02,0,4,M,T,M,27.4,27.1,9,1883,36.6,34,1.4,-9.2
KEWR,2/3/2020,NEWARK INTL AIRPORT,NJ,OKX,58,1991,40,420 PM,35,1,1955,25,551 AM,0,0.1,0.09,1.76,3.85,M,8.25,7.66,1.74,1939,-2.09,0,0,M,T,M,6.9,M,7.7,2014,14.7,M,1,-7.8
KACY,2/3/2020,ATLANTIC CITY INTL,NJ,PHI,64,2006,42,354 PM,32,3,1955,25,726 AM,0,0.09,0.13,2.23,3.51,M,8.54,7.2,1.08,1961,-1.28,0,0,M,0,M,0.5,0.5,7,1996,9.2,9,0.8,-8.7
KROW,2/3/2020,ROSWELL/INDUSTRIAL,NM,ABQ,74,1893,58,118 PM,36,-8,2011,28,259 AM,0,0.01,0,0.44,0.42,M,0.55,1.06,0.81,2010,0.02,0,M,M,0,M,0.5,T,M,,M,M,M,M
KABQ,2/3/2020,ALBUQUERQUE INTL,NM,ABQ,61,1934,50,400 PM,30,-7,2011,28,653 AM,0,0.02,0,0.3,0.43,M,0.6,0.93,0.18,1983,-0.13,0,0,M,0,M,5.3,1.3,M,,M,M,M,M
KCAO,2/3/2020,CLAYTON MUNI(AMOS),NM,ABQ,43,1925,50,114 AM,22,-15,2011,22,1159 PM,T,0.01,T,0.23,0.31,M,0.65,0.67,0.76,2010,-0.08,M,M,M,0,M,7,2,M,,M,M,M,M
KWMC,2/3/2020,WINNEMUCCA MUNI,NV,LKN,32,1953,44,303 PM,10,-20,1903 1883,21,1039 PM,0,0.02,0.02,0.83,0.94,M,M,M,0.37,1925,-0.11,0,T,M,0.3,M,8.5,5,2.4,1939,13.1,9.6,0.5,-4.6
KRNO,2/3/2020,RENO/CANNON INTL,NV,REV,35,1963,48,216 PM,18,-8,1903,27,1153 PM,0,0.03,T,0.13,1.12,M,M,M,0.67,1938,-0.99,0,T,M,0.3,M,6.3,3.3,8.6,1938,14.4,10.9,0.4,-8.1
KELY,2/3/2020,ELY/YELLAND FLD,NV,LKN,19,1953,40,334 PM,-2,-18,2016,13,1155 PM,T,0.02,0.13,0.55,0.77,M,M,M,0.21,1989,-0.22,0.4,3,M,2.8,M,22.2,11.5,6,1989,27.8,18.3,0.8,-5.6
KEKO,2/3/2020,ELKO,NV,LKN,25,1953,38,434 PM,10,-21,1950,16,1125 PM,T,0.03,0.02,1.19,1.21,M,M,M,0.35,1915,-0.02,T,T,M,0.1,M,21.2,18.3,5.1,2008,26.9,21.2,0.8,-5.7
KTPH,2/3/2020,TONOPAH AIRPORT,NV,LKN,28,2018 2015,47,201 PM,14,-6,2016,22,944 PM,T,0.02,T,T,0.54,M,M,M,0.43,1998,-0.54,M,M,M,M,M,M,M,M,,M,M,M,M
KP68,2/3/2020,EUREKA (RAMOS),NV,LKN,21,2015,40,110 PM,4,-16,1988 1983,13,1159 PM,0,0.02,0.03,0.7,0.82,M,M,M,0.12,1987 1987 2008,-0.12,M,M,M,M,M,M,M,M,,M,M,M,M
KBPT,2/3/2020,BEAUMONT/PORT ARTHU,TX,LCH,76,2012 1911,63,120 PM,55,17,1951,45,715 AM,T,0.13,T,5.18,5.68,M,6.25,10.97,2.5,1960,-0.5,0,0,M,0,M,0,0,T,1985,T,T,0,0
KSYR,2/3/2020,SYRACUSE/HANCOCK,NY,BGM,44,1991,32,416 PM,28,-14,1961,16,1104 PM,0.02,0.07,0.05,2.9,2.71,M,7.03,5.93,0.58,2016,0.19,0.1,1,M,0.6,M,46.9,40.3,7.2,1970,79.6,69.7,3,-32.7
KGFL,2/3/2020,GLEN FALLS/WARREN,NY,ALY,42,1991,30,142 PM,23,-27,2015,7,1135 PM,0,0.08,0.01,1.96,3.1,M,4.67,6.15,1.42,1982,-1.14,M,M,M,M,M,M,M,M,,M,M,M,M
KNYC,2/3/2020,NEW YORK CITY,NY,OKX,57,1991,39,510 PM,37,0,1955,27,124 AM,T,0.11,0.07,2,3.98,M,9.09,7.98,1.55,1972,-1.98,0,0,M,T,M,4.8,M,8,2014,13.1,M,1,-8.3
KBUF,2/3/2020,BUFFALO INTL ARPT,NY,BUF,45,2016,31,401 PM,36,-7,1881,18,1159 PM,T,0.09,0.34,3.06,3.45,M,8.43,7.34,1.35,1880,-0.39,0,T,M,2.3,M,44.2,31.6,8.7,1908,63.7,54.9,2.2,-19.5
KROC,2/3/2020,ROCHESTER/MONROE CO,NY,BUF,46,2016,32,433 PM,31,-5,1951,17,853 PM,T,0.07,0.19,3,2.62,M,6.9,5.25,1.37,1880,0.38,T,1,M,1.1,M,63.1,45.3,13.7,1880,59.9,52.5,2.5,3.2
KMDT,2/3/2020,HARRISBURG PA,PA,CTP,66,1991,38,411 PM,33,1,1905,23,206 AM,0,0.09,0.03,3.11,3.14,M,M,M,1.32,1972,-0.03,0,0,M,0,M,M,M,6.5,2014,M,M,1.2,M
KONO,2/3/2020,ONTARIO MUNICIPAL,OR,BOI,42,2018,39,327 PM,23,-18,1950,21,1159 PM,0,0.03,0.02,1.5,1.26,M,M,M,0.48,2019,0.24,M,M,M,M,M,M,M,M,,M,M,M,M
KBKE,2/3/2020,BAKER MUNICIPAL,OR,BOI,38,2018,36,142 PM,20,-15,1996,17,647 AM,T,0.02,0.03,0.31,0.86,M,M,M,0.26,1953,-0.55,M,M,M,M,M,M,M,M,,M,M,M,M
KBNO,2/3/2020,BURNS MUNI (AMO,OR,BOI,36,1953 1963 2018,36,124 PM,17,-19,1996,16,1155 PM,0,0.03,T,1.77,1.29,M,M,M,0.41,1940 1944,0.48,M,M,M,M,M,M,M,M,,M,M,M,M
KMFR,2/3/2020,MEDFORD/JACKSON CO.,OR,MFR,44,2018 2005,52,314 PM,27,9,1950,34,1159 PM,T,0.08,0.07,3.5,2.64,M,M,M,1,1951,0.86,0,0,M,0,M,0.5,M,M,,3.1,M,0.1,-2.6
KRDM,2/3/2020,REDMOND OR,OR,PDT,38,2005,45,313 PM,14,-11,1950,24,636 AM,0.02,0.02,0.07,0.81,1.04,M,M,M,0.3,2004,-0.23,M,M,M,M,M,M,M,M,,M,M,M,M
KPDX,2/3/2020,PORTLAND INTL ARPT,OR,PQR,46,1963,50,349 PM,30,4,1950,36,1146 PM,0.02,0.13,0.27,7.85,5.26,M,M,M,0.68,1952,2.59,T,M,M,T,M,T,T,1.1,1979,M,M,M,M
KTTD,2/3/2020,PORTLAND/TROUTDALE,OR,PQR,43,1963,48,426 PM,29,5,1950,35,1255 AM,0.03,0.19,0.28,7.22,6.74,M,M,M,M,,0.48,M,M,M,M,M,M,M,M,,M,M,M,M
KAST,2/3/2020,ASTORIA/CLATSOP,OR,PQR,46,2009,51,241 PM,30,11,1989,37,1159 PM,T,0.27,0.69,18.83,11,M,M,M,3.6,1907,7.83,M,M,M,M,M,M,M,M,,M,M,M,M
KAOO,2/3/2020,ALTOONA/BLAIR CO.,PA,CTP,64,1991,35,324 PM,42,-4,1955,20,622 AM,0,0.07,0.07,3,2.39,M,M,M,0.88,1972,0.61,M,M,M,M,M,M,M,M,,M,M,M,M
KDUJ,2/3/2020,DU BOIS (AWOS),PA,PBZ,56,2016,32,439 PM,33,-5,1965,17,756 AM,0,0.07,0.04,2.35,3.34,M,M,M,M,,-0.99,M,M,M,M,M,M,M,M,,M,M,M,M
KABE,2/3/2020,ALLENTOWN-BETHLEHEM,PA,PHI,60,1991,37,319 PM,34,-2,1955,20,338 AM,0,0.09,0.11,2.64,3.33,M,6.06,6.91,1.37,1982,-0.69,0,0,M,T,M,5.3,5.3,9.3,2014,17.2,16.5,1.3,-11.9
KPHL,2/3/2020,PHILADELPHIA INTL,PA,PHI,61,1991 2006 2016,41,424 PM,33,4,1881,26,613 AM,0,0.09,0.05,2.69,3.32,M,7.9,6.88,1.64,1939,-0.63,0,0,M,0,M,0.3,0.3,8,1886,11.3,11,1.1,-11
KAVP,2/3/2020,WILKES-BARRE/SCRANT,PA,BGM,55,2016 1991,34,411 PM,35,-5,1961,19,214 AM,0,0.08,0.3,2.97,2.61,M,5.44,5.29,1.1,2004,0.36,0,M,M,1,M,19.2,18.2,3.2,2014,25.7,22.7,1.1,-6.5
KERI,2/3/2020,ERIE INTL AIRPORT,PA,CLE,49,2016,34,1128 AM,34,-11,1881,20,714 AM,0,0.08,0.13,3.66,3.2,M,8.67,6.94,M,,0.46,0,0,M,0.5,M,41.9,34,M,,68.1,59.4,2.3,-26.2
KPIT,2/3/2020,PITTSBURGH INTL,PA,PBZ,62,1883,37,452 PM,34,-5,1905,22,731 AM,0,0.08,0.09,3.78,2.96,M,M,M,1.02,1939,0.82,0,0,M,0.9,M,M,M,10.1,1961,M,M,1.2,M
KUNR,2/3/2020,Rapid City,SD,UNR,25,1962,37,None,20,-23,1899,17,None,0.09,0.02,0.11,0.23,0.34,M,0.34,0.66,0.71,1997,-0.11,1.3,1,M,1.3,M,40.1,6.3,8.9,1997,20.1,11.5,0.8,20
KCUB,2/3/2020,COLUMBIA OWENS DOWNTOWN AIRPORT,SC,CAE,78,,58,428 PM,39,M,,37,746 AM,0,0.1,0,5.8,3.94,M,10.21,7.14,M,,1.86,M,M,M,M,M,M,M,M,,M,M,M,M
KOGB,2/3/2020,ORANGEBURG,SC,CAE,76,,59,428 PM,42,M,,37,634 AM,0,0.1,0.01,3.14,4.27,M,8.92,7.59,M,,-1.13,M,M,M,M,M,M,M,M,,M,M,M,M
KCHS,2/3/2020,CHARLESTOWN MUNI,SC,CHS,78,1989,61,313 PM,45,21,1940,39,723 AM,0,0.11,T,1.46,4.04,M,8.03,7.15,2.25,1952,-2.58,0,M,M,M,M,0,0,M,,0.3,0.3,M,-0.3
KCAE,2/3/2020,COLUMBIA METRO,SC,CAE,79,1990 1989,58,244 PM,42,9,1917,35,603 AM,0,0.12,0,5.84,3.95,M,15.15,7.17,2.07,1998,1.89,0,M,M,0,M,0,0,0.9,1961,1,1,0.1,-1
KFLO,2/3/2020,FLORENCE REGIONAL,SC,ILM,76,1989,57,432 PM,40,19,1980,36,735 AM,0,0.1,0.01,4.62,3.54,M,11.29,6.55,2.04,2016,1.08,M,M,M,M,M,M,M,0.2,1961,1.2,1.2,0,M
K8D3,2/3/2020,SISSETON,SD,ABR,31,1991,25,132 AM,10,-26,1996,5,1159 PM,0,0.01,0,0.63,0.46,M,1.66,0.85,0.72,1943,0.17,0,5,M,0,M,29.6,M,4,1971 1943,M,M,M,M
KPHP,2/3/2020,PHILIP,SD,UNR,31,,37,1149 AM,22,M,,11,1159 PM,0,0.01,0,0.33,0.33,M,1.06,0.76,M,,0,M,M,M,M,M,M,M,M,,M,M,M,M
KFSD,2/3/2020,SIOUX FALLS,SD,FSD,33,2005,28,131 AM,18,-35,1917,8,1159 PM,0,0.02,0,0.8,0.62,M,2.04,1.31,0.66,1997,0.18,0,2,M,0,M,25.6,16.5,8.4,1997,25.4,16.7,0.8,0.2
KSFD,2/3/2020,San Francisco Downtown,CA,UNR,55,2018,59,443 PM,43,35,1883,47,743 AM,0,0.17,0,2.45,4.99,M,M,M,1.43,1927,-2.54,M,M,M,M,M,M,M,M,,M,M,M,M
KIEN,2/3/2020,PINE RIDGE,SD,UNR,29,,38,111 AM,19,M,,11,1159 PM,0.03,0.02,0.03,0.48,0.38,M,1.07,0.73,M,,0.1,M,M,M,M,M,M,M,M,,M,M,M,M
KMHE,2/3/2020,MITCHELL,SD,FSD,32,1962,30,108 AM,18,-36,1996,11,1159 PM,0,0.01,0,0.81,0.26,M,2.19,0.71,0.6,1924,0.55,0,12,M,0,M,31.3,24.8,6,1924,M,M,0,M
KHON,2/3/2020,HURON,SD,FSD,31,1962,29,1216 AM,16,-31,1996,8,1158 PM,0,0.02,0,0.64,0.56,M,1.65,1.08,0.5,1997,0.08,0,7,M,0,M,34.5,20.1,5.5,1997,24.4,16.1,0.8,10.1
KPIR,2/3/2020,PIERRE,SD,ABR,32,1962,32,1216 AM,20,-29,1996,11,1140 PM,0,0.01,0,0.32,0.46,M,1.34,1.01,0.66,1997,-0.14,0,T,M,0,M,28.9,M,7.5,1997,16.4,M,0.5,12.5
KATY,2/3/2020,WATERTOWN,SD,ABR,29,2005,24,1258 AM,10,-36,1905,4,1159 PM,0,0.02,0,0.91,0.57,M,2.51,1.1,0.62,1943,0.34,0,16,M,0,M,28.3,M,6,1919,19.7,M,0.7,8.6
KTYS,2/3/2020,KNOXVILLE MUNICIPAL,TN,MRX,74,1986,49,419 PM,44,2,1917,30,822 AM,0,0.15,0.06,7.32,4.78,M,12.28,9.28,3.26,1894,2.54,0,0,M,0,M,2,0.3,M,,3.7,3.7,0.2,-1.7
KMKL,2/3/2020,JACKSON/MCKELLAR,TN,MEG,73,1986,50,327 PM,51,-8,1951,29,707 AM,0,0.15,T,5.31,4.52,M,9.98,9.87,3.96,1990,0.79,M,M,M,M,M,M,M,M,,M,M,M,M
KMEM,2/3/2020,MEMPHIS INTL ARPT,TN,MEG,68,1883,52,247 PM,56,4,1996,34,735 AM,T,0.15,T,6.44,4.44,M,10.48,10.18,3.07,1894,2,0,0,M,0,M,T,T,9.6,1886,2.3,2.3,0.2,-2.3
KTRI,2/3/2020,BRISTOL/TRI-CITY,TN,MRX,66,1989,47,422 PM,32,-4,1965,26,740 AM,0,0.12,0.05,4.41,3.74,M,7.65,7.11,1.17,2016 2014,0.67,0,0,M,0,M,2,0.9,M,,7.8,7.5,0.4,-5.8
KBNA,2/3/2020,NASHVILLE METRO,TN,OHX,72,1890,49,148 PM,50,-10,1951,29,128 AM,0,0.14,0.11,5.19,4.17,M,M,M,2.87,1894,1.02,0,M,M,0,M,0.4,T,9.8,1886,M,M,M,M
KCHA,2/3/2020,CHATTANOOGA/LOVELL,TN,MRX,74,1986 1927,52,411 PM,38,4,1917,32,737 AM,T,0.18,T,5.97,5.43,M,10.88,10.33,2.57,1936,0.54,0,0,M,0,M,0.3,0.3,M,,2.1,2.1,0.1,-1.8
KCSV,2/3/2020,CROSSVILLE MEMORIAL,TN,OHX,66,1986,46,229 PM,44,-5,1965,28,707 AM,T,0.17,0.04,7.08,5.25,M,M,M,1.95,1990,1.83,M,M,M,M,M,M,M,M,,M,M,M,M
KDHT,2/3/2020,DALHART MUNICIPAL,TX,AMA,43,2019,51,130 AM,28,-13,2011,21,1159 PM,0,0.02,0,0.65,0.57,M,1.34,1.11,1.08,2010,0.08,0,0,M,0,M,8,3,6,2010,10.9,9,0.4,-2.9
KLBB,2/3/2020,LUBBOCK INTL ARPT,TX,LUB,71,1934,56,345 PM,36,4,1972,28,642 AM,T,0.03,T,0.37,0.73,M,1.02,1.49,1.35,2010,-0.36,M,0,M,0,M,1.1,1,6,1956,6.1,5.2,0.3,-5
KCLL,2/3/2020,COLLEGE STATION,TX,HGX,75,1892,63,222 PM,57,16,1951,42,411 AM,T,0.09,T,2.49,3.54,M,3.05,6.77,4.11,2012,-1.05,0,M,M,0,M,0,M,M,,M,M,M,M
KGGG,2/3/2020,LONGVIEW/GREGG CO.,TX,SHV,69,1911,59,354 PM,52,5,1951,36,445 AM,T,0.13,T,4.72,3.71,M,5.8,8.2,2.89,1989,1.01,0,0,M,0,M,0,0,M,,M,M,M,M
KSAT,2/3/2020,SAN ANTONIO INTL,TX,EWX,73,1911,65,502 PM,53,12,1951,42,636 AM,T,0.06,T,1.87,1.95,M,2.39,3.86,2.44,1986,-0.08,0,0,M,0,M,0,0,M,,M,M,M,M
KCDS,2/3/2020,CHILDRESS MUNICIPAL,TX,LUB,59,1962,56,258 PM,36,2,1996,30,1159 PM,0,0.04,0,1.28,0.83,M,1.9,1.74,1.37,1964,0.45,0,0,M,0,M,0.1,0.1,M,,5.5,4.6,0.2,-5.4
KVCT,2/3/2020,VICTORIA REGIONAL,TX,CRP,78,1927,66,1222 PM,58,21,1951,44,105 AM,0,0.07,0,2.78,2.74,M,3.49,5.05,2.69,1992,0.04,0,0,M,0,M,0,0,0,2002,0.1,0.1,0,-0.1
KACT,2/3/2020,Waco,TX,FWD,68,1911,60,204 PM,53,12,1985,37,553 AM,0.01,0.08,0.01,2.21,2.36,M,2.95,5.11,3.96,1986,-0.15,0,0,M,0,M,0,0,0.5,2011,0.4,0.3,0,-0.4
