station,valid,name,state,wfo,high,high_record_years,high_normal,high_time,low,low_record,low_record_years,low_normal,low_time,precip,precip_normal,precip_month,precip_jan1,precip_jan1_normal,precip_jul1,precip_dec1,precip_dec1_normal,precip_record,precip_record_years,precip_jan1_depart,snow,snowdepth,snow_normal,snow_month,snow_jun1,snow_jul1,snow_dec1,snow_record,snow_record_years,snow_jul1_normal,snow_dec1_normal,snow_month_normal,snow_jul1_depart
KJAX,2/3/2020,JACKSONVILLE INTL,FL,JAX,78,1990,66,317 PM,39,16,1917,43,641 AM,0,0.11,0,0.18,3.63,M,5.04,6.43,4.93,1970,-3.45,0,M,M,M,M,M,M,0,2002,M,M,M,M
KAPF,2/3/2020,NAPLES MUNICIPAL,FL,MFL,75,1982 1975,76,319 PM,49,37,1976,55,553 AM,0,0.08,0.08,2.04,2.08,M,M,M,2.32,2006,-0.04,0,0,M,0,M,0,0,M,,M,M,M,M
KFLL,2/3/2020,FT LAUDERDALE/HOLLY,FL,MFL,73,1985,77,218 PM,50,30,1917,63,549 AM,0,0.11,1.58,3.4,3.96,M,M,M,3,1998,-0.56,0,0,M,0,M,0,0,M,,M,M,M,M
KMAI,2/3/2020,MARIANA,FL,TAE,76,,64,338 PM,38,M,,41,619 AM,0,0.16,T,3.5,5.55,M,10.35,9.46,M,,-2.05,0,M,M,M,M,M,M,M,,M,M,M,M
KFMY,2/3/2020,FORT MYERS/PAGE FLD,FL,TBW,76,1982,76,311 PM,47,33,1917,55,731 AM,0,0.07,0.33,1.4,2.16,M,7.11,3.87,2.08,1970,-0.76,M,M,M,M,M,M,M,M,,M,M,M,M
KPBI,2/3/2020,WEST PALM BEACH,FL,MFL,72,1985 1972,76,335 PM,47,28,1917,58,621 AM,0,0.1,0.25,2,3.43,M,M,M,2.15,1919,-1.43,0,0,M,0,M,0,0,M,,M,M,M,M
KMIA,2/3/2020,MIAMI INTL AIRPORT,FL,MFL,75,1985,77,319 PM,49,27,1917,61,638 AM,0,0.07,1.23,3.26,1.84,M,M,M,1.25,1991,1.42,0,0,M,0,M,0,0,M,,M,M,M,M
KDAB,2/3/2020,DAYTONA BEACH RGNL,FL,MLB,73,1939 1990,70,230 PM,41,29,1935,49,723 AM,0,0.1,0.25,0.69,3.03,M,4.02,5.66,1.83,1970,-2.34,0,M,M,0,M,0,M,M,,M,M,M,M
KCTY,2/3/2020,CROSS CITY (AMOS),FL,TAE,74,,68,235 PM,36,M,,42,515 AM,0,0.11,0,1.13,4.38,M,5.58,6.9,M,,-3.25,0,M,M,M,M,M,M,M,,M,M,M,M
KTPA,2/3/2020,TAMPA INTL AIRPORT,FL,TBW,71,2016 1990 1950,71,411 PM,48,26,1917,53,602 AM,0,0.1,0.42,1.5,2.54,M,5.99,5.01,8.29,2006,-1.04,M,M,M,M,M,M,M,M,,M,M,M,M
